time,ITAir,ITLiq
1994400,398896.359,398896.359
1998000,367002.7403,367002.7403
2001600,301516.0464,301516.0464
2005200,406991.9752,406991.9752
2008800,400786.0828,400786.0828
2012400,390794.8337,390794.8337
2016000,409754.7134,409754.7134
2019600,410264.2163,410264.2163
2023200,411327.8902,411327.8902
2026800,411789.0913,411789.0913
2030400,411453.0923,411453.0923
2034000,416042.0132,416042.0132
2037600,383232.1812,383232.1812
2041200,384901.7672,384901.7672
2044800,392322.0801,392322.0801
2048400,396591.7409,396591.7409
2052000,384155.906,384155.906
2055600,357140.0463,357140.0463
2059200,393513.839,393513.839
2062800,377053.5264,377053.5264
2066400,388487.7705,388487.7705
2070000,405108.2103,405108.2103
2073600,405068.2214,405068.2214
2077200,351778.3769,351778.3769
2080800,361920.5657,361920.5657
2084400,282046.2128,282046.2128
2088000,242151.7197,242151.7197
2091600,335921.2221,335921.2221
2095200,376776.5998,376776.5998
2098800,369120.4278,369120.4278
2102400,381655.8784,381655.8784
2106000,385556.6128,385556.6128
2109600,417165.7643,417165.7643
2113200,364726.5763,364726.5763
2116800,411104.5229,411104.5229
2120400,368952.0531,368952.0531
2124000,391459.4144,391459.4144
2127600,397795.0967,397795.0967
2131200,406672.1186,406672.1186
2134800,394063.8403,394063.8403
2138400,392940.7087,392940.7087
2142000,358695.2785,358695.2785
2145600,395774.0581,395774.0581
2149200,398752.6285,398752.6285
2152800,397924.6297,397924.6297
2156400,378727.0809,378727.0809
2160000,382436.3895,382436.3895
2163600,386722.9073,386722.9073
2167200,376172.1221,376172.1221
2170800,387784.7392,387784.7392
2174400,387970.3046,387970.3046
2178000,383080.3115,383080.3115
2181600,384523.344,384523.344
2185200,377614.1125,377614.1125
2188800,342877.2092,342877.2092
2192400,326886.1545,326886.1545
2196000,345137.5448,345137.5448
2199600,347225.5792,347225.5792
2203200,305696.2929,305696.2929
2206800,344074.9379,344074.9379
2210400,310062.3315,310062.3315
2214000,342369.3433,342369.3433
2217600,346969.6911,346969.6911
2221200,344786.8929,344786.8929
2224800,351507.9461,351507.9461
2228400,387415.6576,387415.6576
2232000,411978.4949,411978.4949
2235600,354977.2528,354977.2528
2239200,336908.4139,336908.4139
2242800,385394.5304,385394.5304
2246400,391273.3209,391273.3209
2250000,380713.8765,380713.8765
2253600,353851.3792,353851.3792
2257200,332222.8767,332222.8767
2260800,311574.1094,311574.1094
2264400,326374.505,326374.505
2268000,301478.6401,301478.6401
2271600,296086.4917,296086.4917
2275200,254219.8631,254219.8631
2278800,281251.6988,281251.6988
2282400,280989.1842,280989.1842
2286000,293498.5713,293498.5713
2289600,340616.8565,340616.8565
2293200,345970.0895,345970.0895
2296800,338341.9396,338341.9396
2300400,348537.6098,348537.6098
2304000,346720.7229,346720.7229
2307600,356347.8138,356347.8138
2311200,355215.832,355215.832
2314800,350226.6054,350226.6054
2318400,335569.8402,335569.8402
2322000,345821.1373,345821.1373
2325600,338266.1621,338266.1621
2329200,353791.1958,353791.1958
2332800,378909.8608,378909.8608
2336400,346216.031,346216.031
2340000,334371.3662,334371.3662
2343600,303774.742,303774.742
2347200,267598.229,267598.229
2350800,284167.8311,284167.8311
2354400,280159.8628,280159.8628
2358000,291103.3949,291103.3949
2361600,312901.6776,312901.6776
2365200,292076.2336,292076.2336
2368800,267695.0955,267695.0955
2372400,329183.4675,329183.4675
2376000,273014.6529,273014.6529
2379600,321110.4721,321110.4721
2383200,320134.8906,320134.8906
2386800,366765.705,366765.705
2390400,332802.9272,332802.9272
2394000,327216.8874,327216.8874
2397600,307289.2703,307289.2703
2401200,312520.7462,312520.7462
2404800,302676.8918,302676.8918
2408400,340893.8437,340893.8437
2412000,324358.4976,324358.4976
2415600,319675.6551,319675.6551
2419200,238576.4307,238576.4307
2422800,272142.6358,272142.6358
2426400,259935.4253,259935.4253
2430000,262687.9191,262687.9191
2433600,253519.4552,253519.4552
2437200,251012.5085,251012.5085
2440800,237873.9345,237873.9345
2444400,257637.1861,257637.1861
2448000,287942.2316,287942.2316
2451600,294152.7155,294152.7155
2455200,298477.9393,298477.9393
2458800,305776.0894,305776.0894
2462400,293013.6456,293013.6456
2466000,345119.9057,345119.9057
2469600,363126.6735,363126.6735
2473200,324481.3081,324481.3081
2476800,321367.2957,321367.2957
2480400,338640.3341,338640.3341
2484000,384203.7683,384203.7683
2487600,395930.2461,395930.2461
2491200,384762.3555,384762.3555
2494800,360724.8184,360724.8184
2498400,374494.88,374494.88
2502000,349588.4311,349588.4311
2505600,373375.4764,373375.4764
2509200,388471.104,388471.104
2512800,351572.0473,351572.0473
2516400,337862.8067,337862.8067
2520000,306394.4339,306394.4339
2523600,357707.0377,357707.0377
2527200,337402.6457,337402.6457
2530800,341254.8387,341254.8387
2534400,283133.786,283133.786
2538000,305242.0034,305242.0034
2541600,305346.1939,305346.1939
2545200,289713.7856,289713.7856
2548800,308344.565,308344.565
2552400,345730.2178,345730.2178
2556000,333344.8275,333344.8275
2559600,350218.2859,350218.2859
2563200,331596.9688,331596.9688
2566800,333133.7984,333133.7984
2570400,346534.1556,346534.1556
2574000,359423.6083,359423.6083
2577600,327130.835,327130.835
2581200,314256.1573,314256.1573
2584800,325193.616,325193.616
2588400,345456.8776,345456.8776
2592000,352341.7884,352341.7884
2595600,368832.8719,368832.8719
2599200,331340.8116,331340.8116
2602800,331286.8347,331286.8347
2606400,295437.558,295437.558
2610000,286544.4748,286544.4748
2613600,272610.9664,272610.9664
2617200,293459.4421,293459.4421
2620800,305423.112,305423.112
2624400,323890.5002,323890.5002
2628000,336632.1107,336632.1107
2631600,346766.2336,346766.2336
2635200,341624.2911,341624.2911
2638800,338701.791,338701.791
2642400,340540.3552,340540.3552
2646000,355697.1355,355697.1355
2649600,359480.3578,359480.3578
2653200,361158.7692,361158.7692
2656800,335940.2581,335940.2581
2660400,354010.339,354010.339
2664000,326381.5506,326381.5506
2667600,335826.361,335826.361
2671200,340584.0188,340584.0188
2674800,328338.6985,328338.6985
2678400,318502.0631,318502.0631
2682000,322090.0742,322090.0742
2685600,305158.8435,305158.8435
2689200,334110.2099,334110.2099
2692800,325524.3721,325524.3721
2696400,325069.3475,325069.3475
2700000,291610.8175,291610.8175
2703600,286868.6971,286868.6971
2707200,311039.9739,311039.9739
2710800,282219.6202,282219.6202
2714400,297913.2719,297913.2719
2718000,327286.2038,327286.2038
2721600,306158.3394,306158.3394
2725200,369751.0429,369751.0429
2728800,334191.3623,334191.3623
2732400,359832.6112,359832.6112
2736000,345503.6612,345503.6612
2739600,395295.3047,395295.3047
2743200,377782.9255,377782.9255
2746800,394581.5489,394581.5489
2750400,418310.7769,418310.7769
2754000,421598.1506,421598.1506
2757600,414768.686,414768.686
2761200,412960.1872,412960.1872
2764800,396979.9075,396979.9075
2768400,364626.9514,364626.9514
2772000,317186.8964,317186.8964
2775600,308750.0484,308750.0484
2779200,300678.5081,300678.5081
2782800,302910.0455,302910.0455
2786400,275743.6569,275743.6569
2790000,257295.6357,257295.6357
2793600,266026.5538,266026.5538
2797200,303960.3637,303960.3637
2800800,266391.5989,266391.5989
2804400,312741.6898,312741.6898
2808000,286502.7192,286502.7192
2811600,333990.8232,333990.8232
2815200,330626.2583,330626.2583
2818800,338378.7068,338378.7068
2822400,303074.6687,303074.6687
2826000,311349.7682,311349.7682
2829600,316227.3629,316227.3629
2833200,290112.1315,290112.1315
2836800,278004.2997,278004.2997
2840400,271435.2372,271435.2372
2844000,262743.631,262743.631
2847600,271458.8998,271458.8998
2851200,288842.1935,288842.1935
2854800,340880.4807,340880.4807
2858400,269859.5913,269859.5913
2862000,286067.7921,286067.7921
2865600,283234.8449,283234.8449
2869200,278216.936,278216.936
2872800,277087.8648,277087.8648
2876400,279294.1563,279294.1563
2880000,305148.7143,305148.7143
2883600,279599.6805,279599.6805
2887200,302946.5528,302946.5528
2890800,296635.2915,296635.2915
2894400,285438.7242,285438.7242
2898000,333038.9765,333038.9765
2901600,307385.9379,307385.9379
2905200,314434.0672,314434.0672
2908800,301785.3067,301785.3067
2912400,308547.5283,308547.5283
2916000,301626.7229,301626.7229
2919600,287345.7518,287345.7518
2923200,303011.9474,303011.9474
2926800,286905.1991,286905.1991
2930400,283832.4351,283832.4351
2934000,279903.9519,279903.9519
2937600,313499.8596,313499.8596
2941200,299504.6018,299504.6018
2944800,273657.0072,273657.0072
2948400,243636.5023,243636.5023
2952000,241135.4705,241135.4705
2955600,241907.3772,241907.3772
2959200,249294.2172,249294.2172
2962800,272524.7874,272524.7874
2966400,272471.2849,272471.2849
2970000,263008.2116,263008.2116
2973600,268882.0146,268882.0146
2977200,258944.4536,258944.4536
2980800,268662.6315,268662.6315
2984400,288772.2395,288772.2395
2988000,271627.5372,271627.5372
2991600,289414.2653,289414.2653
2995200,266868.6138,266868.6138
2998800,269151.3425,269151.3425
3002400,290741.1203,290741.1203
3006000,270823.7656,270823.7656
3009600,249399.7266,249399.7266
3013200,277288.1472,277288.1472
3016800,256509.2844,256509.2844
3020400,264061.9088,264061.9088
3024000,286104.3349,286104.3349
3027600,280129.1113,280129.1113
3031200,295450.1193,295450.1193
3034800,329212.4516,329212.4516
3038400,292608.2564,292608.2564
3042000,287171.1228,287171.1228
3045600,302372.0436,302372.0436
3049200,280734.2024,280734.2024
3052800,285162.9093,285162.9093
3056400,266075.431,266075.431
3060000,258656.9193,258656.9193
3063600,296520.1521,296520.1521
3067200,288690.2499,288690.2499
3070800,310493.5915,310493.5915
3074400,299929.3905,299929.3905
3078000,321731.1037,321731.1037
3081600,323401.9938,323401.9938
3085200,328102.7961,328102.7961
3088800,319454.0646,319454.0646
3092400,339581.0106,339581.0106
3096000,344685.0153,344685.0153
3099600,317953.2116,317953.2116
3103200,313047.9356,313047.9356
3106800,354360.1596,354360.1596
3110400,349258.0371,349258.0371
3114000,366196.2172,366196.2172
3117600,292322.1316,292322.1316
3121200,341707.3169,341707.3169
3124800,380166.9445,380166.9445
3128400,377226.4576,377226.4576
3132000,345345.0111,345345.0111
3135600,366071.2272,366071.2272
3139200,382295.8334,382295.8334
3142800,378414.851,378414.851
3146400,401059.3919,401059.3919
3150000,362987.2739,362987.2739
3153600,398139.7139,398139.7139
3157200,408446.8695,408446.8695
3160800,395699.1849,395699.1849
3164400,360782.6672,360782.6672
3168000,351978.3907,351978.3907
3171600,330318.4282,330318.4282
3175200,335138.4743,335138.4743
3178800,336661.6071,336661.6071
3182400,364011.3616,364011.3616
3186000,383022.204,383022.204
3189600,356757.6365,356757.6365
3193200,340217.1012,340217.1012
3196800,314194.5805,314194.5805
3200400,347938.0958,347938.0958
3204000,336978.83,336978.83
3207600,299910.909,299910.909
3211200,277103.4007,277103.4007
3214800,294657.4285,294657.4285
3218400,302043.2376,302043.2376
3222000,289200.8606,289200.8606
3225600,367976.9373,367976.9373
3229200,343536.7005,343536.7005
3232800,386767.6312,386767.6312
