tdry_profile,twet_profile
289.25,277.45910345441115
289.84999999999997,277.9993053564689
289.84999999999997,277.9993053564689
289.25,278.05005884882314
285.95,276.2515424033225
282.04999999999995,274.4032660811433
279.84999999999997,273.33666304764546
277.54999999999995,272.3571862478724
277.04999999999995,272.0833782034692
275.34999999999997,270.8928153217746
275.95,271.2185782838648
275.95,271.0688985256099
275.34999999999997,270.56308475375516
275.95,270.7880446709458
276.45,271.0095888317226
277.04999999999995,271.280394069771
277.54999999999995,271.6760837036629
278.75,272.3741442806132
278.75,272.3741442806132
277.04999999999995,271.536995426083
280.34999999999997,273.4506018860832
282.04999999999995,274.78029883575647
286.45,277.41804272638046
287.54999999999995,278.1475175436462
288.75,278.9432274083141
288.15,278.54538247843595
287.54999999999995,278.43325745131574
286.45,278.0675590798046
285.34999999999997,277.2914731032444
282.04999999999995,275.58196894269355
279.25,273.8128580682412
279.25,273.95316387007836
277.54999999999995,272.84618978112013
275.34999999999997,271.60306642437104
274.25,270.87755366290077
274.25,270.5981742632787
273.75,270.2735121260149
272.04999999999995,269.0414325288816
272.04999999999995,269.0414325288816
272.04999999999995,269.0414325288816
274.25,270.14535304279207
269.84999999999997,267.3143455202174
269.84999999999997,267.4612203362095
270.95,268.3106604629142
276.45,272.1814928678719
278.75,273.6223740213136
279.25,273.95316387007836
282.04999999999995,275.58196894269355
283.15,275.6395365299024
284.25,276.4070021363844
284.84999999999997,276.82559121719584
282.54999999999995,275.68722556473824
280.95,274.7508800421265
278.75,273.28643828677633
277.04999999999995,272.3168482489027
278.15,273.14070945791303
279.25,273.8128580682412
278.15,273.5378592049419
277.54999999999995,273.3011921415882
276.45,273.36268571085725
275.34999999999997,272.91935206874246
273.75,272.0538108127867
272.04999999999995,271.2108053640622
269.25,268.4461774397845
268.15,267.03846649153763
267.54999999999995,266.5145929022499
266.45,265.4388992733316
265.34999999999997,264.36320097120097
265.34999999999997,264.36320097120097
265.95,264.67068398534377
265.95,264.46253119123844
267.54999999999995,265.67775467095623
268.75,266.2747126966933
267.04999999999995,265.3568300413729
267.54999999999995,265.67775467095623
267.54999999999995,265.83003099039763
268.15,266.6196702210017
268.15,267.03846649153763
268.75,267.88533742223194
269.25,268.4461774397845
269.25,268.1114661360542
269.84999999999997,268.4356334575254
270.15,269.2644000084937
270.45,269.4196417988976
269.65,268.7718783546295
269.95,268.6618228834056
271.34999999999997,269.9517445328813
271.65,270.17328080095695
273.04999999999995,271.1031845994414
273.34999999999997,271.59837883794137
274.75,272.643973354023
275.04999999999995,272.85477601628935
276.45,273.65070500432455
277.34999999999997,273.81764406998536
278.15,274.16537294715835
278.45,274.4270467188961
277.95,274.06225332037206
277.84999999999997,274.04606554367444
277.25,273.5179893187054
276.65,272.9899096074254
274.95,271.93353285046516
273.25,270.76266487429706
272.15,269.92839664485007
272.04999999999995,270.0887758835245
271.54999999999995,269.80909926298386
270.45,269.35049142380495
267.54999999999995,267.10012723722195
267.54999999999995,267.10012723722195
267.04999999999995,266.5340275159952
268.15,267.36006724343883
267.04999999999995,266.27395324280326
267.54999999999995,265.83003099039763
267.54999999999995,265.67775467095623
265.95,263.9665128305776
263.15,261.4812563053155
263.75,262.04028738545907
263.75,262.4992199261401
267.54999999999995,265.83003099039763
269.84999999999997,267.1758076957242
270.95,267.92843537903616
270.34999999999997,267.76721739153777
271.45,268.27647806370504
271.45,268.60805504703563
270.95,268.01843463626983
270.34999999999997,268.30327938070127
268.75,267.88533742223194
269.15,267.8854451795915
268.15,267.03846649153763
268.15,267.36006724343883
267.04999999999995,266.5340275159952
263.75,262.96006060324515
265.34999999999997,264.59540559012976
262.54999999999995,261.83071668832383
261.45,260.5493208305195
257.54999999999995,256.6983869182317
259.25,258.202516775359
259.84999999999997,258.7442998808705
260.34999999999997,259.26447214384024
258.15,257.10751011672573
263.15,261.62674744816076
264.25,262.3985111328901
265.95,263.74826393416953
267.54999999999995,265.3547687135219
269.25,266.40189154106133
270.34999999999997,267.76721739153777
270.95,267.92843537903616
270.34999999999997,267.76721739153777
270.95,268.1604807817799
269.25,267.06079458529683
265.95,264.46253119123844
263.15,261.96759909307565
263.75,262.36204750724454
262.54999999999995,261.38836131301565
262.04999999999995,260.90566165456914
262.04999999999995,260.7389260826497
262.04999999999995,260.58881567335885
262.04999999999995,260.58881567335885
263.75,261.9373286696105
262.54999999999995,261.0606040185817
263.15,261.3839062558074
261.45,259.8973164767104
262.54999999999995,260.7252216419939
262.04999999999995,260.3427082376361
260.95,259.3316056784795
265.34999999999997,263.1195714300202
267.04999999999995,264.4060573806452
268.75,265.6839049031491
270.95,267.6086421197725
273.15,269.60334228905475
274.84999999999997,270.5872713161762
275.34999999999997,270.6534105272626
274.84999999999997,270.5872713161762
271.45,268.3665856201402
268.75,266.07352689742436
268.75,265.80914952092934
265.34999999999997,263.5724064762206
268.75,265.86817629717393
267.54999999999995,265.1168995315069
268.15,265.5430856567641
268.15,265.5430856567641
267.54999999999995,264.9188459691299
267.54999999999995,264.86241595716467
267.04999999999995,264.4060573806452
267.04999999999995,264.3616368168167
264.84999999999997,262.60343633209703
264.25,262.1388208463933
264.84999999999997,262.5453509708027
265.34999999999997,262.97955862854667
